order_id,order_status
3641065,completed
3653006,completed
3714867,cancelled
3725388,completed
3726351,completed
3727102,completed
3727797,completed
3727974,completed
3737857,completed
3739904,cancelled
3740538,completed
3740619,completed
3742606,completed
3743371,completed
3745301,completed
3745586,completed
3747756,completed
3749877,cancelled
3751704,completed
3751880,cancelled
3752287,cancelled
3752532,completed
3752714,cancelled
3753108,completed
3753663,completed
3753747,cancelled
3753803,cancelled
3753904,completed
3754176,completed
3754435,cancelled
3754708,cancelled
3755073,cancelled
3755267,cancelled
3755567,cancelled
3755606,cancelled
3755801,cancelled
3755907,cancelled
3755942,cancelled
3755946,cancelled
3755999,completed
3756150,completed
3756286,cancelled
3756481,cancelled
3756634,cancelled
3756733,cancelled
3756840,cancelled
3756883,cancelled
3756989,completed
3757197,cancelled
3757376,cancelled
3757946,cancelled
3758100,cancelled
3758141,cancelled
3758249,cancelled
3758410,completed
3759130,completed
3759319,cancelled
3759423,completed
3759543,cancelled
3759855,completed
3759916,completed
3759939,cancelled
3760409,completed
3760520,cancelled
3760691,completed
3760699,completed
3760836,completed
3760959,completed
3761194,completed
3761275,cancelled
3761356,completed
3762074,completed
3762304,completed
3762550,completed
3762881,completed
3762895,cancelled
3762953,cancelled
3762972,completed
3763103,cancelled
3763505,cancelled
3764108,cancelled
3764286,cancelled
3764338,completed
3764552,cancelled
3764639,cancelled
3764783,cancelled
3765058,completed
3765156,cancelled
3765203,completed
3765621,completed
3765790,completed
3765834,completed
3766491,completed
3766713,cancelled
3767012,cancelled
3767053,cancelled
3767073,cancelled
3767310,cancelled
3767452,cancelled
3767834,cancelled
3767848,cancelled
3767883,completed
3768102,completed
3768167,cancelled
3768193,completed
3768363,completed
3768551,completed
3768777,completed
3769038,completed
3769090,cancelled
3769262,cancelled
3769416,completed
3769712,completed
3769884,completed
3769909,cancelled
3769950,cancelled
3770045,completed
3770186,completed
3770264,completed
3770327,completed
3770342,cancelled
3770368,cancelled
3770403,completed
3770437,completed
3770454,completed
3770627,cancelled
3770726,completed
3770766,cancelled
3770847,cancelled
3770993,cancelled
3771114,cancelled
3771314,cancelled
3771361,completed
3771422,cancelled
3771498,cancelled
3771502,completed
3771505,cancelled
3771684,cancelled
3771712,completed
3771718,cancelled
3771741,cancelled
3771874,cancelled
3771978,completed
3772020,cancelled
3772095,cancelled
3772171,cancelled
3772264,completed
3772386,completed
3772416,cancelled
3772421,cancelled
3772443,cancelled
3772463,cancelled
3772468,completed
3772485,completed
3772496,completed
3772530,cancelled
3772539,completed
3772541,completed
3772688,cancelled
3772702,cancelled
3772724,completed
3772762,cancelled
3772763,completed
3772786,completed
3772807,completed
3772834,completed
3772962,completed
3773017,completed
3773048,completed
3773057,cancelled
3773106,completed
3773136,cancelled
3773421,completed
3773429,completed
3773511,cancelled
3773587,completed
3773636,completed
3773896,completed
3774090,cancelled
3774145,completed
3774162,cancelled
3774164,cancelled
3774177,completed
3774255,completed
3774286,cancelled
3774410,completed
3774530,cancelled
3774691,cancelled
3774694,cancelled
3774773,cancelled
3774847,cancelled
3774908,cancelled
3774915,completed
3774963,completed
3774980,completed
3775021,cancelled
3775022,cancelled
3775072,completed
3775129,completed
3775138,completed
3775145,cancelled
3775195,cancelled
3775213,cancelled
3775223,completed
3775229,cancelled
3775242,completed
3775246,cancelled
3775250,completed
3775275,completed
3775293,completed
3775313,cancelled
3775359,completed
3775401,cancelled
3775408,completed
3775480,completed
3775515,cancelled
3775576,cancelled
3775613,completed
3775685,cancelled
3775702,cancelled
3775731,completed
3775741,completed
3775780,cancelled
3775783,completed
3775818,cancelled
3775926,cancelled
3775945,cancelled
3775967,cancelled
3776198,cancelled
3776219,cancelled
3776249,completed
3776376,cancelled
3776398,cancelled
3776452,cancelled
3776470,cancelled
3776488,cancelled
3777587,completed
3777657,cancelled
3777753,completed
3777769,cancelled
3777778,cancelled
3777802,completed
3777820,completed
3777821,cancelled
3777860,completed
3778041,completed
3778254,completed
3778328,cancelled
3778332,cancelled
3778420,cancelled
3778456,cancelled
3778462,completed
3778475,cancelled
3778493,completed
3778628,completed
3778652,cancelled
3778696,completed
3778708,completed
3778720,cancelled
3778745,completed
3778960,cancelled
3779032,completed
3779041,cancelled
3779063,completed
3779087,completed
3779112,completed
3779158,completed
3779180,cancelled
3779234,cancelled
3779245,cancelled
3779272,cancelled
3779316,completed
3779325,cancelled
3779330,cancelled
3779355,completed
3779358,cancelled
3779379,cancelled
3779757,cancelled
3779780,completed
3779844,cancelled
3779879,cancelled
3779892,completed
3779895,completed
3779956,cancelled
3779969,completed
3779984,completed
3780004,cancelled
3780023,cancelled
3780086,completed
3780105,cancelled
3780139,completed
3780153,completed
3780216,cancelled
3780220,cancelled
3780238,completed
3780266,completed
3780336,completed
3780396,completed
3780405,cancelled
3780415,cancelled
3780440,cancelled
3780443,completed
3780457,completed
3780463,cancelled
3780471,completed
3780476,cancelled
3780486,completed
3780522,completed
3780540,cancelled
3780548,cancelled
3780700,cancelled
3780796,completed
3780816,completed
3780827,completed
3780850,completed
3780925,completed
3780991,completed
3781002,cancelled
3781006,cancelled
3781030,cancelled
3781039,cancelled
3781056,cancelled
3781079,completed
3781082,completed
3781084,completed
3781091,completed
3781100,cancelled
3781107,completed
3781111,cancelled
3781128,completed
3781137,cancelled
3781144,cancelled
3781172,completed
3781180,cancelled
3781209,completed
3781228,cancelled
3781239,completed
3781261,completed
3781318,cancelled
3781319,cancelled
3781320,cancelled
3781330,completed
3781337,cancelled
3781344,cancelled
3781383,cancelled
3781386,completed
3781401,completed
3781418,completed
3781435,cancelled
3781456,cancelled
3781486,cancelled
3781494,completed
3781521,completed
3781547,cancelled
